SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-6-2022,Single Family Residential,26246 Solrio,Mission Viejo,CA,92692,865000,2,2.5,MC - Mission Viejo Central,1473,1972,1991,,587,463,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26246-Solrio-92692/home/5034681,CRMLS,OC22045269,N,Y,33.581626,-117.6469294
PAST SALE,April-10-2024,Condo/Co-op,29 Willow Wind,Aliso Viejo,CA,92656,962000,3,2.5,AV - Aliso Viejo,1499,,1994,,642,347,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/29-Willow-Wind-92656/home/5688911,CRMLS,OC24041450,N,Y,33.5839054,-117.7217365
PAST SALE,May-20-2022,Single Family Residential,5881 Kingsbriar Dr,Yorba Linda,CA,92886,1000000,3,2,85 - Yorba Linda,1366,7500,1971,,732,,Sold,,,https://www.redfin.com/CA/Yorba-Linda/5881-Kingsbriar-Dr-92886/home/4250797,CRMLS,OC22082340,N,Y,33.8762659,-117.7885608
PAST SALE,August-30-2021,Condo/Co-op,7958 E Monte Carlo Ave,Anaheim Hills,CA,92808,670000,3,3,77 - Anaheim Hills,1363,,1994,,492,297,Sold,,,https://www.redfin.com/CA/Anaheim/7958-E-Monte-Carlo-Ave-92808/home/5240794,CRMLS,OC21169038,N,Y,33.8504732,-117.7404286
PAST SALE,June-10-2022,Single Family Residential,27811 Sheffield,Mission Viejo,CA,92692,1381000,4,3,MS - Mission Viejo South,2360,5400,1984,,585,82,Sold,,,https://www.redfin.com/CA/Mission-Viejo/27811-Sheffield-92692/home/5051074,CRMLS,OC22094655,N,Y,33.6000543,-117.6438708
PAST SALE,December-14-2021,Single Family Residential,2903 Penedes,San Clemente,CA,92673,1535000,3,2.5,FR - Forster Ranch,2956,8800,1992,,519,132,Sold,,,https://www.redfin.com/CA/San-Clemente/2903-Penedes-92673/home/4981831,CRMLS,OC21201099,N,Y,33.4744974,-117.6280363
PAST SALE,November-8-2021,Condo/Co-op,900 S Country Glen Way,Anaheim Hills,CA,92808,625000,2,2,77 - Anaheim Hills,1046,,1991,,598,275,Sold,,,https://www.redfin.com/CA/Anaheim/900-S-Country-Glen-Way-92808/home/5230197,CRMLS,OC21216617,N,Y,33.8555989,-117.7274439
PAST SALE,June-21-2024,Single Family Residential,2079 Perkins St,Fullerton,CA,92833,2330000,5,4.5,Marston (MARS),4123,6500,2003,,565,200,Sold,,,https://www.redfin.com/CA/Fullerton/2079-Perkins-St-92833/home/5897430,CRMLS,OC24086604,N,Y,33.8866072,-117.9590731
PAST SALE,January-28-2022,Single Family Residential,4 Bisquine St,Laguna Niguel,CA,92677,1330000,3,2.5,LNSLT - Salt Creek,1733,3500,1984,,767,212,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/4-Bisquine-St-92677/home/4912074,CRMLS,OC22002697,N,Y,33.4973845,-117.7074375
PAST SALE,November-9-2021,Single Family Residential,1125 S Rita Way,Santa Ana,CA,92704,623800,3,2,699 - Not Defined,1044,6630,1958,,598,,Sold,,,https://www.redfin.com/CA/Santa-Ana/1125-S-Rita-Way-92704/home/3536646,CRMLS,OC21226167,N,Y,33.7323662,-117.8894331
PAST SALE,August-11-2023,Single Family Residential,310 N Dexford Dr,La Habra,CA,90631,801000,4,2,87 - La Habra,1280,6000,1955,,626,,Sold,,,https://www.redfin.com/CA/La-Habra/310-N-Dexford-Dr-90631/home/3108726,CRMLS,PW23120400,N,Y,33.9340738,-117.9725213
PAST SALE,March-29-2022,Single Family Residential,10 Viejo #73,Irvine,CA,92612,1060000,2,2.5,SJ - Rancho San Joaquin,1645,99999,1975,,644,539,Sold,,,https://www.redfin.com/CA/Irvine/10-Viejo-92612/unit-73/home/5441723,CRMLS,OC22025568,N,Y,33.6590966,-117.8346174
PAST SALE,November-1-2023,Condo/Co-op,2840 N Glassell St,Orange,CA,92865,750000,2,2.5,RVB - Riverbend,1198,,2020,,626,245,Sold,,,https://www.redfin.com/CA/Orange/2840-N-Glassell-St-92865/home/173437911,CRMLS,PW23165118,N,Y,33.8364152,-117.8530757
PAST SALE,May-28-2024,Single Family Residential,23 Camino Azulejo,San Clemente,CA,92673,1575000,4,3,Solana (SOLA),2145,4398,2000,,734,267,Sold,,,https://www.redfin.com/CA/San-Clemente/23-Camino-Azulejo-92673/home/5777413,CRMLS,OC24074567,N,Y,33.458824,-117.5799368
PAST SALE,May-6-2022,Single Family Residential,24461 Christina Ct,Laguna Hills,CA,92653,1377777,4,2.5,699 - Not Defined,2800,6875,1979,,492,,Sold,,,https://www.redfin.com/CA/Laguna-Hills/24461-Christina-Ct-92653/home/4848808,CRMLS,OC22052480,N,Y,33.6073509,-117.6976206
PAST SALE,September-30-2021,Condo/Co-op,62 Platinum Cir,Ladera Ranch,CA,92694,650000,2,2.5,LD - Ladera Ranch,1308,,2004,,497,448,Sold,,,https://www.redfin.com/CA/Ladera-Ranch/62-Platinum-Cir-92694/home/5951542,CRMLS,OC21199485,N,Y,33.5399164,-117.6442367
PAST SALE,May-31-2023,Single Family Residential,1916 W Beverly Dr,Orange,CA,92868,1240000,5,2.5,OTO - Old Towne Orange,2722,6298,1978,,456,,Sold,,,https://www.redfin.com/CA/Orange/1916-W-Beverly-Dr-92868/home/4407595,CRMLS,OC23071253,N,Y,33.794294,-117.8730375
PAST SALE,June-30-2021,Single Family Residential,2422 S Olive St,Santa Ana,CA,92707,715000,4,2,69 - Santa Ana South of First,1367,6000,1955,,523,,Sold,,,https://www.redfin.com/CA/Santa-Ana/2422-S-Olive-St-92707/home/3703673,CRMLS,OC21107561,N,Y,33.7133698,-117.8776324
